id,project_id,user_id,hours_worked,entry_date
1,4953,14,4.77,2025-02-11
2,1519,59,4.72,2023-01-29
3,50,13,5.94,2023-06-20
4,2175,8,9.95,2021-12-02
5,2571,70,7.43,2024-08-29
6,1932,91,3.43,2024-08-10
7,1901,5,8.3,2021-03-30
8,4932,59,9.16,2022-09-20
9,2118,6,5.11,2025-01-21
10,753,51,1.61,2023-02-03
11,1184,81,8.67,2022-06-13
12,1170,50,2.72,2023-11-22
13,3660,56,1.37,2020-10-04
14,3859,21,5.1,2023-02-20
15,3938,82,9.58,2025-02-14
16,4046,8,8.93,2020-04-19
17,3953,83,9.46,2020-09-05
18,3599,28,8.27,2020-07-16
19,4133,7,5.82,2023-08-24
20,1816,44,6.47,2023-05-06
21,4495,68,7.53,2024-02-26
22,3471,89,2.05,2024-04-24
23,2305,43,6.66,2021-11-07
24,3572,31,2.45,2022-10-28
25,572,57,1.88,2022-03-03
26,2216,60,9.89,2021-04-27
27,2195,47,9.72,2021-11-24
28,1234,47,2.72,2020-05-17
29,3660,69,9.56,2024-08-21
30,4144,96,3.63,2024-11-05
31,2519,82,3.97,2025-02-09
32,1628,58,1.22,2020-11-15
33,4112,53,9.32,2024-02-29
34,4308,5,4.55,2020-04-08
35,4973,15,7.78,2022-10-23
36,3090,3,5.16,2025-01-11
37,1377,41,4.6,2023-10-03
38,791,52,7.64,2025-03-08
39,2015,52,4.49,2022-12-01
40,1403,45,9.85,2023-09-27
41,1114,84,8.59,2024-11-27
42,1687,64,4.11,2020-03-25
43,503,58,9.82,2022-03-17
44,569,42,4.7,2024-09-10
45,2579,88,3.6,2021-10-09
46,2932,5,3.26,2024-09-22
47,4859,90,3.78,2023-07-03
48,562,20,3.32,2020-01-03
49,4987,1,3.57,2020-01-05
50,59,16,3.87,2021-09-01
51,3230,11,8.68,2022-05-25
52,1885,51,4.01,2023-05-15
53,4878,84,2.66,2020-08-22
54,518,47,2.96,2024-04-12
55,3763,19,1.84,2024-03-11
56,2554,98,1.39,2021-06-04
57,3258,95,6.94,2024-05-13
58,230,54,5.9,2024-08-13
59,1310,36,7.57,2023-12-12
60,2600,55,1.49,2021-02-13
61,1222,89,5.4,2022-11-12
62,204,80,9.87,2024-12-07
63,4837,24,5.76,2023-12-21
64,676,27,1.91,2021-08-20
65,2490,17,6.19,2021-12-16
66,1332,45,8.19,2020-10-25
67,4839,25,4.66,2025-01-30
68,4424,99,9.87,2020-01-10
69,1147,18,9.79,2022-10-10
70,1709,13,7.04,2022-11-24
